time_s pipe_0_flow_kg_s node_5_temp_k
0.000000 0.000000 303.150000
0.100000 -0.000000 303.150000
0.200000 0.005277 303.150000
0.300000 0.015978 303.150000
0.400000 0.032014 303.150000
0.500000 0.053363 303.150000
0.600000 0.079837 303.150000
0.700000 0.107756 303.150000
0.800000 0.136160 303.150000
0.900000 0.165064 303.150000
1.000000 0.193655 303.150000
1.100000 0.221317 303.150000
1.200000 0.247665 303.150000
1.300000 0.272517 303.150000
1.400000 0.295839 303.150000
1.500000 0.317694 303.150000
1.600000 0.338196 303.150000
1.700000 0.357482 303.150000
1.800000 0.375685 303.150000
1.900000 0.392925 303.150000
2.000000 0.409304 303.150000
2.100000 0.424907 303.150000
2.200000 0.439803 303.150000
2.300000 0.454046 303.150000
