time_s pipe_0_flow_kg_s node_5_temp_k
0.000000 0.000000 303.150000
0.100000 -0.000000 303.150000
0.200000 0.000121 303.150000
0.300000 0.000474 303.150000
0.400000 0.001134 303.150000
0.500000 0.002157 303.150000
0.600000 0.003588 303.150000
0.700000 0.005455 303.150000
0.800000 0.007784 303.150000
0.900000 0.010600 303.150000
1.000000 0.013920 303.150000
1.100000 0.017764 303.150000
1.200000 0.022147 303.150000
1.300000 0.027082 303.150000
1.400000 0.032581 303.150000
1.500000 0.038655 303.150000
1.600000 0.045315 303.150000
1.700000 0.052565 303.150000
1.800000 0.060404 303.150000
1.900000 0.068840 303.150000
2.000000 0.077879 303.150000
2.100000 0.087406 303.150000
2.200000 0.097342 303.150000
2.300000 0.107691 303.150000
